t,counts,median,delta
0.000,1251339,1251339,0
0.041,1251240,1251289,-49
0.135,1251121,1251240,-119
0.229,1251062,1251180,-118
0.323,1251145,1251145,0
0.417,1251290,1251192,98
0.512,1251232,1251232,0
0.605,1251260,1251236,24
0.700,1251368,1251240,128
0.794,1251412,1251250,162
0.889,1251380,1251260,120
0.982,1251373,1251275,98
1.077,1251328,1251290,38
1.171,1251289,1251289,0
1.265,1251284,1251289,-5
1.359,1251246,1251286,-40
1.453,1251252,1251284,-32
1.548,1251212,1251272,-60
1.642,1251223,1251260,-37
1.736,1251225,1251256,-31
1.831,1251253,1251253,0
1.924,1251306,1251256,50
2.019,1251344,1251260,84
2.113,1251354,1251272,82
2.208,1251306,1251284,22
2.302,1251273,1251278,-5
2.395,1251335,1251284,51
2.490,1251356,1251286,70
2.584,1251326,1251289,37
2.678,1251322,1251289,33
2.773,1251343,1251290,53
2.866,1251350,1251298,52
2.961,1251384,1251306,78
3.055,1251282,1251298,-16
3.149,1251190,1251290,-100
3.243,1251178,1251289,-111
3.338,1251276,1251289,-13
3.432,1251357,1251289,68
3.526,1251288,1251289,-1
3.620,1251190,1251288,-98
3.715,1251348,1251289,59
3.809,1251374,1251289,85
3.903,1251340,1251290,50
3.997,1251309,1251298,11
4.091,1251292,1251292,0
4.186,1251298,1251295,3
4.279,1251266,1251292,-26
4.374,1251176,1251291,-115
4.468,1251201,1251290,-89
4.563,1251280,1251289,-9
4.656,1251389,1251290,99
4.751,1251317,1251291,26
4.844,1251267,1251290,-23
4.939,1251193,1251289,-96
5.033,1251235,1251289,-54
5.127,1251287,1251288,-1
5.221,1251272,1251288,-16
5.316,1251187,1251287,-100
5.410,1251134,1251287,-153
5.504,1251192,1251285,-93
5.599,1251263,1251284,-21
5.693,1251275,1251283,-8
5.786,1251279,1251282,-3
5.881,1251261,1251281,-20
5.975,1251273,1251280,-7
6.069,1251244,1251279,-35
6.164,1251271,1251279,-8
6.258,1251275,1251277,-2
6.352,1251259,1251276,-17
6.446,1251267,1251275,-8
6.540,1251331,1251276,55
6.634,1251295,1251277,18
6.728,1251271,1251276,-5
6.823,1251328,1251277,51
6.917,1251388,1251279,109
7.012,1251322,1251279,43
7.106,1251353,1251280,73
7.200,1251363,1251281,82
7.294,1251285,1251282,3
7.388,1251192,1251281,-89
7.483,1251153,1251280,-127
7.577,1251162,1251279,-117
7.670,1251172,1251279,-107
7.765,1251224,1251277,-53
7.859,1251230,1251276,-46
7.953,1251220,1251275,-55
8.047,1251200,1251275,-75
8.141,1251196,1251275,-79
8.236,1251215,1251275,-60
8.330,1251233,1251274,-41
8.424,1251335,1251275,60
8.518,1251306,1251275,31
8.613,1251262,1251275,-13
8.707,1251243,1251274,-31
8.801,1251270,1251273,-3
8.895,1251253,1251273,-20
8.989,1251310,1251273,37
9.084,1251310,1251274,36
9.178,1251246,1251273,-27
9.273,1251252,1251273,-21
9.692,1251371,1251273,98
9.786,1251305,1251273,32
9.880,1251201,1251273,-72
9.974,1251190,1251273,-83
10.068,1251232,1251273,-41
10.163,1251165,1251273,-108
10.257,1251197,1251273,-76
10.351,1251188,1251273,-85
10.446,1251135,1251273,-138
10.539,1251167,1251272,-105
10.633,1251260,1251271,-11
10.728,1251243,1251271,-28
10.822,1251267,1251270,-3
10.917,1251281,1251270,11
11.010,1251275,1251270,5
11.105,1251387,1251270,117
11.199,1251345,1251271,74
11.293,1251218,1251271,-53
11.387,1251159,1251271,-112
11.482,1251165,1251271,-106
11.576,1251163,1251271,-108
11.670,1251212,1251271,-59
11.764,1251235,1251270,-35
11.858,1251295,1251270,25
11.952,1251324,1251270,54
12.047,1251362,1251270,92
12.141,1251354,1251270,84
12.236,1251324,1251270,54
12.329,1251305,1251270,35
12.423,1251242,1251267,-25
12.518,1251301,1251267,34
12.612,1251322,1251267,55
12.706,1251309,1251267,42
12.800,1251276,1251267,9
12.895,1251224,1251267,-43
